text,intent
what is quantum computing,general_query
how does wifi work,general_query
can you give me info about elon musk,general_query
tell me about APJ abdul kalam,general_query
give me information about narendra modi,general_query
who is albert einstein,general_query
tell me about the life of tesla,general_query
give me details about sachin tendulkar,general_query
what do you know about bill gates,general_query
can you tell me about steve jobs,general_query
give me a brief about mahatma gandhi,general_query
who was nelson mandela,general_query
tell me facts about newton,general_query
give me info about marie curie,general_query
what can you tell me about obama,general_query
describe the life of shakespeare,general_query
give me background on warren buffett,general_query
ok thanks,general_query
ok got it,general_query
ok i understand,general_query
ok so what is python,general_query
ok can you help me,general_query
ok tell me more,general_query
ok what about machine learning,general_query
ok sounds good what next,general_query
ok go ahead,general_query
ok i see,general_query
remember what i said earlier,contextual
based on our last conversation,contextual
as i mentioned before,contextual
following up on what we discussed,contextual
continue from where we left off,contextual
going back to my previous question,contextual
like i said earlier,contextual
do you remember my name,contextual
what did i ask you last time,contextual
based on my previous queries,contextual
you said something about this before,contextual
recall our earlier discussion,contextual
from our last session,contextual
we talked about this before,contextual
going back to my earlier question,contextual
based on what you know about me,contextual
remember my preference for,contextual
we discussed this last time,contextual
what was my last question,contextual
can you recall what i told you,contextual
continuing our conversation,contextual
as per our previous chat,contextual
pick up where we left off,contextual
i told you earlier that,contextual
you should know from before that,contextual
do you remember our last chat,contextual
what did we talk about last time,contextual
based on my history,contextual
you already know my preference,contextual
from what i told you before,contextual
can you continue from last session,contextual
i asked you this before,contextual
you should remember my name,contextual
last time we spoke about this,contextual
as we discussed in our previous session,contextual
i have told you my preferences already,contextual
you know what i like from before,contextual
remind me what we talked about,contextual
i mentioned this to you previously,contextual
based on our conversation history,contextual
do you have memory of what i said,contextual
you should recall our earlier chat,contextual
what was the topic of our last chat,contextual
i was talking to you about this yesterday,contextual
from my previous messages,contextual
do you remember i told you my name,contextual
you know from our past chat that,contextual
referring back to what i said,contextual
as established in our prior session,contextual
carry on from where we stopped,contextual
